Years,Spot
13.485470941883767,4.863939004409609
13.54509018036072,4.868384080276098
13.604709418837675,4.872842484656546
13.664328657314629,4.877313966042871
13.723947895791582,4.881798272901645
13.783567134268537,4.88629515369945
13.84318637274549,4.8908043569028585
13.902805611222444,4.89532563097845
13.962424849699397,4.899858724392799
14.022044088176353,4.904403385511277
14.081663326653306,4.908959357958752
14.14128256513026,4.913526378690276
14.200901803607215,4.9181041841596755
14.260521042084168,4.922692510820778
14.320140280561121,4.9272910951274085
14.379759519038075,4.931899673533397
14.43937875751503,4.936517982492568
14.498997995991983,4.941145758458749
14.558617234468937,4.945782735733473
14.618236472945892,4.95042863956383
14.677855711422845,4.9550831928162795
14.737474949899799,4.959746118357267
14.797094188376752,4.964417139053244
14.856713426853707,4.969095977770655
14.91633266533066,4.97378235737595
14.975951903807614,4.978476000735577
15.035571142284569,4.983176630177021
15.095190380761522,4.98788395985496
15.154809619238476,4.99259769757675
15.214428857715431,4.9973175509832135
15.274048096192384,5.002043227715171
15.333667334669338,5.006774435413445
15.393286573146291,5.011510881718855
15.452905811623246,5.016252274272224
15.5125250501002,5.020998320688215
15.572144288577153,5.025748723687467
15.631763527054108,5.030503175375094
15.691382765531062,5.035261366465777
15.751002004008015,5.040022987674202
15.810621242484968,5.044787729715053
15.870240480961924,5.049555283303012
15.929859719438877,5.054325339152766
15.98947895791583,5.059097587978996
16.049098196392784,5.063871718757531
16.10871743486974,5.068647408541259
16.168336673346694,5.073424329381957
16.22795591182365,5.078202153314294
16.2875751503006,5.082980552372937
16.347194388777556,5.087759198592554
16.406813627254508,5.0925377640078135
16.466432865731463,5.097315920653385
16.526052104208414,5.102093340279235
16.58567134268537,5.106869685649886
16.645290581162325,5.111644608936685
16.704909819639276,5.116417761702013
16.76452905811623,5.121188795508246
16.824148296593187,5.125957361917762
16.883767535070138,5.13072311249294
16.943386773547093,5.135485698796157
17.00300601202405,5.140244772389315
17.062625250501,5.144999980532376
17.122244488977955,5.149750955687049
17.18186372745491,5.154497327135525
17.241482965931862,5.159238724159996
17.301102204408817,5.163974776042651
17.360721442885772,5.168705112065678
17.420340681362724,5.173429361511269
17.47995991983968,5.178147153661613
17.53957915831663,5.182858116625084
17.599198396793586,5.187561864724788
17.65881763527054,5.192258003323352
17.718436873747493,5.196946137631026
17.778056112224448,5.2016258728580675
17.837675350701403,5.20629681421473
17.897294589178355,5.210958566911266
17.95691382765531,5.215610736157932
18.016533066132265,5.220252927073261
18.076152304609217,5.224884736179838
18.13577154308617,5.229505744506111
18.195390781563127,5.234115531457183
18.25501002004008,5.238713676438162
18.314629258517034,5.243299758854157
18.37424849699399,5.247873358110272
18.43386773547094,5.252434053611614
18.493486973947896,5.256981424763291
18.553106212424847,5.261515047739876
18.612725450901802,5.266034480741949
18.672344689378757,5.270539275755451
18.73196392785571,5.275028984760368
18.791583166332664,5.2795031597366835
18.85120240480962,5.283961352664379
18.91082164328657,5.288403115523441
18.970440881763526,5.292828000293852
19.03006012024048,5.297235558338995
19.089679358717433,5.301625327116364
19.149298597194388,5.305996830329153
19.208917835671343,5.310349591094279
19.268537074148295,5.31468313252865
19.32815631262525,5.318996977749181
19.387775551102205,5.323290649872786
19.447394789579157,5.3275636720163755
19.507014028056112,5.331815567288714
19.566633266533064,5.336045851842696
19.62625250501002,5.340254022199513
19.685871743486974,5.344439571441651
19.745490981963925,5.348601992651591
19.80511022044088,5.352740778911821
